,date,opponent,result,location,w/l,conf,season,team
0,08/30/25,Bucknell,3:30 pm,Home,,,2025,Air Force
1,09/13/25,Utah St,9:45 pm,Away,,,2025,Air Force
2,09/20/25,Boise St,7:00 pm,Home,,,2025,Air Force
3,09/27/25,Hawai'i,12:00 pm,Home,,,2025,Air Force
4,10/04/25,Navy,12:00 pm,Away,,,2025,Air Force
5,10/11/25,UNLV,3:30 pm,Away,,,2025,Air Force
6,10/18/25,Wyoming,3:30 pm,Home,,,2025,Air Force
7,11/01/25,Army,12:00 pm,Home,,,2025,Air Force
8,11/08/25,San Jose St,12:00 pm,Away,,,2025,Air Force
9,11/15/25,UConn,12:00 pm,Away,,,2025,Air Force
10,11/22/25,New Mexico,7:00 pm,Home,,,2025,Air Force
11,11/28/25,Colorado St,12:00 pm,Away,,,2025,Air Force
0,08/28/25,Wyoming,7:00 pm,Home,,,2025,Akron
1,09/06/25,Nebraska,7:30 pm,Away,,,2025,Akron
2,09/13/25,UAB,8:30 pm,Away,,,2025,Akron
3,09/20/25,Duquesne,12:00 pm,Home,,,2025,Akron
4,09/27/25,Toledo,12:00 pm,Away,,,2025,Akron
5,10/04/25,C Michigan,12:00 pm,Home,,,2025,Akron
6,10/11/25,Miami OH,12:00 pm,Home,,,2025,Akron
7,10/18/25,Ball St,12:00 pm,Away,,,2025,Akron
8,10/25/25,Buffalo,12:00 pm,Away,,,2025,Akron
9,11/04/25,UMass,12:00 pm,Home,,,2025,Akron
10,11/11/25,Kent St,7:30 pm,Home,,,2025,Akron
11,11/18/25,Bowling Green,12:00 pm,Away,,,2025,Akron
0,08/30/25,Florida St,3:30 pm,Away,,,2025,Alabama
1,09/06/25,UL Monroe,7:45 pm,Home,,,2025,Alabama
2,09/13/25,Wisconsin,12:00 pm,Home,,,2025,Alabama
3,09/27/25,Georgia,7:30 pm,Away,,,2025,Alabama
4,10/04/25,Vanderbilt,12:00 pm,Home,,,2025,Alabama
5,10/11/25,Missouri,12:00 pm,Away,,,2025,Alabama
6,10/18/25,Tennessee,12:00 pm,Home,,,2025,Alabama
7,10/25/25,South Carolina,12:00 pm,Away,,,2025,Alabama
8,11/08/25,LSU,12:00 pm,Home,,,2025,Alabama
9,11/15/25,Oklahoma,12:00 pm,Home,,,2025,Alabama
10,11/22/25,E Illinois,2:00 pm,Home,,,2025,Alabama
11,11/29/25,Auburn,12:00 pm,Away,,,2025,Alabama
0,08/29/25,Charlotte,7:00 pm,Neutral,,,2025,Appalachian State
1,09/06/25,Lindenwood,3:30 pm,Home,,,2025,Appalachian State
2,09/13/25,Southern Miss,7:00 pm,Away,,,2025,Appalachian State
3,09/27/25,Boise St,12:00 pm,Away,,,2025,Appalachian State
4,10/04/25,Oregon St,12:00 pm,Home,,,2025,Appalachian State
5,10/11/25,Georgia St,12:00 pm,Away,,,2025,Appalachian State
6,10/18/25,Coastal Car,12:00 pm,Home,,,2025,Appalachian State
7,10/25/25,Old Dominion,12:00 pm,Away,,,2025,Appalachian State
8,11/06/25,Georgia So,12:00 pm,Home,,,2025,Appalachian State
9,11/15/25,J Madison,12:00 pm,Away,,,2025,Appalachian State
10,11/22/25,Marshall,12:00 pm,Home,,,2025,Appalachian State
11,11/29/25,Arkansas St,12:00 pm,Home,,,2025,Appalachian State
0,08/30/25,Hawai'i,10:30 pm,Home,,,2025,Arizona
1,09/06/25,Weber State,10:00 pm,Home,,,2025,Arizona
2,09/12/25,Kansas St,9:00 pm,Home,,,2025,Arizona
3,09/27/25,Iowa St,12:00 pm,Away,,,2025,Arizona
